def_instance,state,location,control,no_of_students_thous,male,female,student,academic,sat_verbal,set_math,expenses_thous,percent_financial_aid,no_of_applicants_thous,percent_admittance,percent_enrolled,academics_scale,social_scale,quality_of_life_scale
adelphi,newyork,,private,7.5,0.3,0.7,0.9375,0.0625,500,475,8.5,60,0,70,40,2,2,2
arizona-state,arizona,,state,0,0.5,0.5,0.9523809523809523,0.047619047619047616,450,500,5.5,50,0,80,60,3,4,5
boston-college,massachusetts,suburban,private:roman-catholic,7.5,0.4,0.6,0.9523809523809523,0.047619047619047616,500,550,0,60,0,50,40,4,5,3
boston-university,massachusetts,urban,private,12.5,0.45,0.55,0.9230769230769231,0.07692307692307693,550,575,0,60,0,60,40,4,4,3
brown,rhodeisland,urban,private,5,0.5,0.5,0.9166666666666666,0.08333333333333333,625,650,0,40,0,20,50,5,4,5
cal-tech,california,suburban,private,5,0.7,0.3,0.9090909090909091,0.09090909090909091,650,780,0,70,0,15,90,5,1,3
carnegie-mellon,pennsylvania,urban,private,5,0.6,0.4,0.9090909090909091,0.09090909090909091,600,650,0,70,0,40,50,4,3,3
case-western,ohio,urban,private,5,0.7,0.3,0.9,0.1,550,650,0,65,0,85,35,3,2,3
ccny,newyork,urban,city,12.5,0.6,0.4,0.9375,0.0625,550,650,4,80,0,80,60,3,2,2
colgate,newyork,small-town,private,5,0.55,0.45,0.9285714285714286,0.07142857142857142,550,650,0,60,0,40,40,4,3,3
columbia,newyork,urban,private,5,0.7,0.3,0.9,0.1,625,650,0,60,0,30,50,5,3,3
cooper-union,newyork,urban,private,5,0.7,0.3,0.8571428571428571,0.14285714285714285,625,650,4,35,0,20,65,3,1,3
cornell,newyork,small-city,private,12.5,0.55,0.45,0.875,0.125,600,650,0,50,0,30,50,5,3,2
dartmouth,newhampshire,small-town,private,5,0.6,0.4,0.875,0.125,625,650,0,40,0,20,60,5,5,3
florida-tech,florida,small-city,private,5,0.8,0.2,0.9523809523809523,0.047619047619047616,500,550,5.5,60,0,60,50,3,3,3
florida-state,florida,small-city,state,17.5,0.45,0.55,0.9523809523809523,0.047619047619047616,500,525,5.5,40,0,60,50,3,3,3
georgia-tech,georgia,urban,state,7.5,0.8,0.2,0.9523809523809523,0.047619047619047616,525,625,5.5,20,0,60,50,4,2,2
harvard,massachusetts,urban,private,7.5,0.65,0.35,0.9090909090909091,0.09090909090909091,700,675,0,60,0,20,80,5,3,4
hofstra,newyork,suburban,private,7.5,0.5,0.5,0.9090909090909091,0.09090909090909091,500,525,8.5,80,0,70,50,2,2,2
illinois-tech,illinois,urban,state,5,0.9,0.1,0.9615384615384616,0.038461538461538464,450,575,5.5,65,0,50,60,3,1,3
johns-hopkins,maryland,urban,private,5,0.7,0.3,0.9090909090909091,0.09090909090909091,625,675,0,70,0,50,40,5,3,3
mit,massachusetts,urban,private,5,0.75,0.25,0.8333333333333334,0.16666666666666666,650,750,0,50,0,30,60,5,3,3
university-of-montana,montana,small-city,state,5,0.65,0.35,0.9545454545454546,0.045454545454545456,650,750,5.5,65,0,90,60,3,2,4
morgan-state,maryland,urban,state,5,0.4,0.6,0.9285714285714286,0.07142857142857142,300,325,4,65,0,70,50,2,2,2
new-jersey-tech,newjersey,urban,state,5,0.9,0.1,0.9615384615384616,0.038461538461538464,450,575,5.5,65,0,50,60,3,1,3
nyu,newyork,urban,private,7.5,0.5,0.5,0.875,0.125,550,575,0,50,0,50,60,4,3,3
pratt,newyork,urban,private,5,0.6,0.4,0.875,0.125,425,475,5.5,80,0,50,60,3,1,2
princeton,newjersey,small-town,private,5,0.65,0.35,0.875,0.125,650,675,0,50,0,20,60,5,3,3
